entity,complexity,domain,priority
HIDDEN_ELEMENT_OVER_RIDING_STYLED_ITEM,SIMPLE,annotation,170
INCLUDED_TEXT_BLOCK,SIMPLE,annotation,170
MECHANICAL_DESIGN_GEOMETRIC_PRESENTATION_AREA,SIMPLE,annotation,170
MECHANICAL_DESIGN_SHADED_PRESENTATION_AREA,SIMPLE,annotation,170
PLANAR_PAIR_VALUE,SIMPLE,annotation,170
PLANAR_PAIR_WITH_RANGE,SIMPLE,annotation,170
PMI_REQUIREMENT_ITEM_ASSOCIATION,SIMPLE,annotation,170
PRESENTATION_AREA,SIMPLE,annotation,170
PRESENTATION_SET,SIMPLE,annotation,170
PRESENTATION_SIZE,SIMPLE,annotation,170
PRESENTATION_VIEW,SIMPLE,annotation,170
PRE_DEFINED_DIMENSION_SYMBOL,SIMPLE,annotation,170
PRE_DEFINED_GEOMETRICAL_TOLERANCE_SYMBOL,SIMPLE,annotation,170
PRE_DEFINED_TERMINATOR_SYMBOL,SIMPLE,annotation,170
REPRESENTATION_PROXY_ITEM,SIMPLE,annotation,170
REPRESENTATION_REFERENCE,SIMPLE,annotation,170
SINGLE_TEXTURE_STYLE_TESSELLATION_SPECIFICATION,SIMPLE,annotation,170
SYMBOL,SIMPLE,annotation,170
SYMBOL_TARGET,SIMPLE,annotation,170
TAGGED_TEXT_FORMAT,SIMPLE,annotation,170
TAGGED_TEXT_ITEM,SIMPLE,annotation,170
TEXTURE_STYLE_SPECIFICATION,SIMPLE,annotation,170
TEXTURE_STYLE_TESSELLATION_SPECIFICATION,SIMPLE,annotation,170
TEXT_FONT_FAMILY,SIMPLE,annotation,170
TEXT_FONT_IN_FAMILY,SIMPLE,annotation,170
TEXT_LITERAL_WITH_BLANKING_BOX,SIMPLE,annotation,170
TEXT_LITERAL_WITH_EXTENT,SIMPLE,annotation,170
TEXT_STYLE_WITH_BOX_CHARACTERISTICS,SIMPLE,annotation,170
USER_DEFINED_TERMINATOR_SYMBOL,SIMPLE,annotation,170
A3M_EQUIVALENCE_SUMMARY_REPORT_REQUEST_WITH_REPRESENTATIVE_VALUE,SIMPLE,action,165
ACTION_ACTUAL,SIMPLE,action,165
ACTION_HAPPENING,SIMPLE,action,165
ACTION_REQUEST_SOLUTION,SIMPLE,action,165
ACTION_REQUEST_STATUS,SIMPLE,action,165
ACTION_RESOURCE,SIMPLE,action,165
ACTION_RESOURCE_REQUIREMENT,SIMPLE,action,165
ACTION_RESOURCE_TYPE,SIMPLE,action,165
CHANGE_REQUEST,SIMPLE,action,165
CONICAL_STEPPED_HOLE_TRANSITION,SIMPLE,action,165
DATA_EQUIVALENCE_REPORT_REQUEST,SIMPLE,action,165
DATA_QUALITY_REPORT_REQUEST,SIMPLE,action,165
DETAILED_EQUIVALENCE_REPORT_REQUEST,SIMPLE,action,165
DETAILED_EQUIVALENCE_REPORT_REQUEST_WITH_NUMBER_OF_INSTANCES,SIMPLE,action,165
DETAILED_REPORT_REQUEST,SIMPLE,action,165
DETAILED_REPORT_REQUEST_WITH_NUMBER_OF_DATA,SIMPLE,action,165
DIRECTED_ACTION,SIMPLE,action,165
EXECUTED_ACTION,SIMPLE,action,165
FINAL_SOLUTION,SIMPLE,action,165
